hash,text,audio_file,synthesis_time,voice_name,speaking_rate,pitch,duration_ms
0d342f95fda7f2e66dee1713a2a5a4b856397830fd7787a240b3a7890a2293de,is the service included,data/audio/0d342f95fda7f2e66dee1713a2a5a4b856397830fd7787a240b3a7890a2293de.mp3,0.2247866250000001,en-US-Wavenet-D,1.0,0,1584
7b74cddc33678a23b9230bf35a5f3ad2b8ddc53f8295b836a052610b6b3156f2,il servizio è incluso,data/audio/7b74cddc33678a23b9230bf35a5f3ad2b8ddc53f8295b836a052610b6b3156f2.mp3,0.2661489589999988,it-IT-Wavenet-D,0.75,0,2112
113051a1e6047dbc6f823e15d1e77791c1e387b03b3ededa8bf9239d7c2c8b94,the soup,data/audio/113051a1e6047dbc6f823e15d1e77791c1e387b03b3ededa8bf9239d7c2c8b94.mp3,0.1903453330000033,en-US-Wavenet-D,1.0,0,864
94006905368e01a2f7da33919858cbd983b3dd58f51068eee25645e54b4dce76,la minestra,data/audio/94006905368e01a2f7da33919858cbd983b3dd58f51068eee25645e54b4dce76.mp3,0.1871067079999981,it-IT-Wavenet-D,0.75,0,1344
8bf6bcc4574a09553b84c7d9330443fe2e79c872fabbd3294a893f0678b8d3f5,the salad,data/audio/8bf6bcc4574a09553b84c7d9330443fe2e79c872fabbd3294a893f0678b8d3f5.mp3,0.1671595000000003,en-US-Wavenet-D,1.0,0,960
250490ce28dede533bee6e758bbcf687e635c84cd1af61f167a0cc82edb7ce49, l'insalata,data/audio/250490ce28dede533bee6e758bbcf687e635c84cd1af61f167a0cc82edb7ce49.mp3,0.192441500000001,it-IT-Wavenet-D,0.75,0,1296
11355bed0c0d6524965adb4127f596d649f1346ab3d858621f1a96e80ea06cae,an appetizer,data/audio/11355bed0c0d6524965adb4127f596d649f1346ab3d858621f1a96e80ea06cae.mp3,0.1880108749999998,en-US-Wavenet-D,1.0,0,1272
759dfe62c00eb05172b11a7166a7233bbf3ab23bba30fef9924a62ba83481bd4,un antipasto,data/audio/759dfe62c00eb05172b11a7166a7233bbf3ab23bba30fef9924a62ba83481bd4.mp3,0.2074691249999993,it-IT-Wavenet-D,0.75,0,1536
e8241e61838ecada38b5d551ebd5fd83898a6ac5ae005d09d163998830bf0783,a desert,data/audio/e8241e61838ecada38b5d551ebd5fd83898a6ac5ae005d09d163998830bf0783.mp3,0.3139973749999996,en-US-Wavenet-D,1.0,0,1008
b192bca49060831791f56d3a725198dea278bf27b5e2820b822a5013c766f05d,un desert / un dolce,data/audio/b192bca49060831791f56d3a725198dea278bf27b5e2820b822a5013c766f05d.mp3,0.1742770829999997,it-IT-Wavenet-D,0.75,0,2256
f3e2cb66f4bc18e62e817577c1d593e76679f64466a105c70504edb19da4c835,a drink,data/audio/f3e2cb66f4bc18e62e817577c1d593e76679f64466a105c70504edb19da4c835.mp3,0.2801694999999995,en-US-Wavenet-D,1.0,0,888
3798508fccbe22692fff0a235bebc5a58713dfde9781c1f1b32d6382a25a3aba,una bevanda,data/audio/3798508fccbe22692fff0a235bebc5a58713dfde9781c1f1b32d6382a25a3aba.mp3,0.2393238330000002,it-IT-Wavenet-D,0.75,0,1368
3c9ee2161660d66b23ed302ebdb6a3f41e6fea24769d7ce9ed736d1dcd7b47c2,a list,data/audio/3c9ee2161660d66b23ed302ebdb6a3f41e6fea24769d7ce9ed736d1dcd7b47c2.mp3,0.3670292080000017,en-US-Wavenet-D,1.0,0,912
c6cd8a3bcdd3086e2e200ab64270faed7bbc6df31e921c416d0c24150db38d92,una lista,data/audio/c6cd8a3bcdd3086e2e200ab64270faed7bbc6df31e921c416d0c24150db38d92.mp3,0.3029644579999981,it-IT-Wavenet-D,0.75,0,1200
bebea04ac47b3ce5ab3d8fefe7501b4f00040be617ce52fd2776cda940136569,a wine list,data/audio/bebea04ac47b3ce5ab3d8fefe7501b4f00040be617ce52fd2776cda940136569.mp3,0.2146321669999977,en-US-Wavenet-D,1.0,0,1200
5b8d68152693bf67147e67b4302af582fe35eecce7727f91022aaf80391eafcc,una lista dei vini,data/audio/5b8d68152693bf67147e67b4302af582fe35eecce7727f91022aaf80391eafcc.mp3,0.2137905419999981,it-IT-Wavenet-D,0.75,0,1704
a5e64dfcf33e976af961289dd6d41502bb9bfdb27bd2bb63821507a9f963f11c,the first course,data/audio/a5e64dfcf33e976af961289dd6d41502bb9bfdb27bd2bb63821507a9f963f11c.mp3,0.224318083,en-US-Wavenet-D,1.0,0,1320
e596f22646dee10f644d42e18530c9a72dce822bfffd09f80fa0b0bd3a306cd9,il primo piatto,data/audio/e596f22646dee10f644d42e18530c9a72dce822bfffd09f80fa0b0bd3a306cd9.mp3,0.2392121659999979,it-IT-Wavenet-D,0.75,0,1608
cccd3bb9d3333af680560c9a237865c1fd0c1319a9f2c6bb96d4f5224b3d3783,the second course,data/audio/cccd3bb9d3333af680560c9a237865c1fd0c1319a9f2c6bb96d4f5224b3d3783.mp3,0.207689208999998,en-US-Wavenet-D,1.0,0,1344
a22ec6c979b63ea2f1371c0ebcf4a28c437b7fc5b6114041dd27beda766308c7,il secondo piatto,data/audio/a22ec6c979b63ea2f1371c0ebcf4a28c437b7fc5b6114041dd27beda766308c7.mp3,0.2125394999999983,it-IT-Wavenet-D,0.75,0,1800
998e1f4e011e95b70ab147b913498751bfed3ed015b4c2b7ae8c97c847243092,a side dish,data/audio/998e1f4e011e95b70ab147b913498751bfed3ed015b4c2b7ae8c97c847243092.mp3,0.1754474159999972,en-US-Wavenet-D,1.0,0,1248
85d90360163519e59b004c63d2b16b27a93e30cce6470fa87cb0347710d0f680,un contorno,data/audio/85d90360163519e59b004c63d2b16b27a93e30cce6470fa87cb0347710d0f680.mp3,0.1928266669999985,it-IT-Wavenet-D,0.75,0,1440
76afe1e3ea46a6d78dd8d2b9dc2601144156cb7de9f1e2d9c8d2d8876d87cdb5,vegatables,data/audio/76afe1e3ea46a6d78dd8d2b9dc2601144156cb7de9f1e2d9c8d2d8876d87cdb5.mp3,0.2254582920000025,en-US-Wavenet-D,1.0,0,1200
581040d1403b190cdc2544555746cbb670f342525042d4b7502317a3f668eb99,verdure,data/audio/581040d1403b190cdc2544555746cbb670f342525042d4b7502317a3f668eb99.mp3,0.2133108750000012,it-IT-Wavenet-D,0.75,0,1104
25d6b0d3239edf07324262516afde8f26b95e60531968849daffa1cf5603adf0,ice,data/audio/25d6b0d3239edf07324262516afde8f26b95e60531968849daffa1cf5603adf0.mp3,0.1655371670000001,en-US-Wavenet-D,1.0,0,744
45f6af523586ac09c0e75cebf82f2aef4c01793f785e812be856b2e85d71c0e2,ghiaccio,data/audio/45f6af523586ac09c0e75cebf82f2aef4c01793f785e812be856b2e85d71c0e2.mp3,0.1803112079999991,it-IT-Wavenet-D,0.75,0,1080
f709a2bd0bf83c1415c182614f1324552085a18029794136e45b7ec35b9318f2,the tip,data/audio/f709a2bd0bf83c1415c182614f1324552085a18029794136e45b7ec35b9318f2.mp3,0.2765277089999998,en-US-Wavenet-D,1.0,0,840
a06af2934510b824c0dd3cd52462aa1586de2ed5df81854189d549de9be42682,la mancia,data/audio/a06af2934510b824c0dd3cd52462aa1586de2ed5df81854189d549de9be42682.mp3,0.2109706670000051,it-IT-Wavenet-D,0.75,0,1176
de178bbdf262d3841b0492fd3d30e6e407f43d51871b435ecf0b24e28a001e5d,a waiter,data/audio/de178bbdf262d3841b0492fd3d30e6e407f43d51871b435ecf0b24e28a001e5d.mp3,0.1975277920000024,en-US-Wavenet-D,1.0,0,960
5fff612cee6596b0a9d646bc66d5fddd010a3867d0d2fbe5da31a5c0664ce616,un cameriere,data/audio/5fff612cee6596b0a9d646bc66d5fddd010a3867d0d2fbe5da31a5c0664ce616.mp3,0.1726985410000026,it-IT-Wavenet-D,0.75,0,1368
88d43cad1b97be17fe85f9b014914c2187399ff2db4552d207a702458c081397,a waitress,data/audio/88d43cad1b97be17fe85f9b014914c2187399ff2db4552d207a702458c081397.mp3,0.1842198750000037,en-US-Wavenet-D,1.0,0,1080
efd28fbfabcf6a1c4919d658bbf6bebe50cea5b5af648288cbb59bdd824dde2f,una cameriera,data/audio/efd28fbfabcf6a1c4919d658bbf6bebe50cea5b5af648288cbb59bdd824dde2f.mp3,0.1944883749999988,it-IT-Wavenet-D,0.75,0,1464
f6ef142c0be3ec95014c68a7d81238070508067cbcbf3b907c84738398323c54,[to call a waiter],data/audio/f6ef142c0be3ec95014c68a7d81238070508067cbcbf3b907c84738398323c54.mp3,0.1978156660000039,en-US-Wavenet-D,1.0,0,1200
74c316b3d27a9b29bd009087872f554c0fcb605a89feefd6e95ad27762c9f322,cameriere,data/audio/74c316b3d27a9b29bd009087872f554c0fcb605a89feefd6e95ad27762c9f322.mp3,0.1636097499999991,it-IT-Wavenet-D,0.75,0,1176
921ec640c8081c194681ec851de24f2782814db949658b670d2b8f5f3e507f00,to pay,data/audio/921ec640c8081c194681ec851de24f2782814db949658b670d2b8f5f3e507f00.mp3,0.187962375000005,en-US-Wavenet-D,1.0,0,888
ab1628b11cc311dda3a83c4089b374346b0f17b2aad7dc8fccdb6fc035d59212,pagare,data/audio/ab1628b11cc311dda3a83c4089b374346b0f17b2aad7dc8fccdb6fc035d59212.mp3,0.1740849580000016,it-IT-Wavenet-D,0.75,0,1008
987fa989d1acfdb5881a3bdc38b816d74e40633aa37f0ea213da8c27cd02de98,I would like to pay,data/audio/987fa989d1acfdb5881a3bdc38b816d74e40633aa37f0ea213da8c27cd02de98.mp3,0.290921541000003,en-US-Wavenet-D,1.0,0,1416
3e1e617806988b375478988143258847a144736345472db111d8e5738f732aa8,vorrei pagare,data/audio/3e1e617806988b375478988143258847a144736345472db111d8e5738f732aa8.mp3,0.2069541249999957,it-IT-Wavenet-D,0.75,0,1464
465367a8de1e724368e4574ec4be01e5b99467dcf67a0e2c5e6ba504094e1999,two coffees please,data/audio/465367a8de1e724368e4574ec4be01e5b99467dcf67a0e2c5e6ba504094e1999.mp3,0.3124856660000006,en-US-Wavenet-D,1.0,0,1536
cc2b751c202b5b4a2108775b5d9976bedcaa5ea7676dc894b67eabbb45b17b59, due caffè per piacere,data/audio/cc2b751c202b5b4a2108775b5d9976bedcaa5ea7676dc894b67eabbb45b17b59.mp3,0.2030270000000058,it-IT-Wavenet-D,0.75,0,2088
9aa3b90753d001ff5ce1f91802abb52f2ab1ca9c4cd6395e487ced183eaf1880,do you want desert,data/audio/9aa3b90753d001ff5ce1f91802abb52f2ab1ca9c4cd6395e487ced183eaf1880.mp3,0.3047674589999971,en-US-Wavenet-D,1.0,0,1248
0b773d4be8bd06514d40c662e1f590820af3163a6f0ed1f62e8d944ddbdbf689, vuole desert,data/audio/0b773d4be8bd06514d40c662e1f590820af3163a6f0ed1f62e8d944ddbdbf689.mp3,0.2002018339999978,it-IT-Wavenet-D,0.75,0,1416
7a25728fa57d0a4a46eef049f206f5f6602e3d38af2901798b5aa0ed489f8bab,a dessert,data/audio/7a25728fa57d0a4a46eef049f206f5f6602e3d38af2901798b5aa0ed489f8bab.mp3,0.4474796670000103,en-US-Wavenet-D,1.0,0,984
4ff76cc04a519da7636ba08e73cc1140cf51cabfa0d3e3a7603b02dcebe78bd4,un dessert / un dolce,data/audio/4ff76cc04a519da7636ba08e73cc1140cf51cabfa0d3e3a7603b02dcebe78bd4.mp3,0.2421021250000024,it-IT-Wavenet-D,0.75,0,2304
396bdef0fff5f95fe5eee005c7e59aac3b3dd6af09c00a5c69091f3e6ff16541,do you want dessert,data/audio/396bdef0fff5f95fe5eee005c7e59aac3b3dd6af09c00a5c69091f3e6ff16541.mp3,0.1745199169999978,en-US-Wavenet-D,1.0,0,1200
fda426deae076d8817f991963ac1353b5db5c4a58c7012bda190bf347eec2cb2, vuole dessert,data/audio/fda426deae076d8817f991963ac1353b5db5c4a58c7012bda190bf347eec2cb2.mp3,0.1796640839999952,it-IT-Wavenet-D,0.75,0,1416
d6d35bbaf77681dfc008af4e9d9fbb958ece7e79948d3c8cc222dcf68bd45815,how much is it,data/audio/d6d35bbaf77681dfc008af4e9d9fbb958ece7e79948d3c8cc222dcf68bd45815.mp3,0.4508479999999997,en-US-Wavenet-D,1.0,0,1056
4ffdfc4e76c2a5f7b216afbbfc4365603819ece8c0937bfae27f4996cb181cb3,quante,data/audio/4ffdfc4e76c2a5f7b216afbbfc4365603819ece8c0937bfae27f4996cb181cb3.mp3,0.357472833000001,it-IT-Wavenet-D,0.75,0,984
