text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	sentence_1_it	sentence_1_en	sentence_2_it	sentence_2_en	sentence_3_it	sentence_3_en
boicottando	boy-koht-TAHN-doh	boicottare	VERB	boycotting	6	6e-06	8	8e-06	boicottare	VERB	V	root	VerbForm=Ger	7aa7a31c-0302-5955-9f21-3f8dbdd08bc7	cdb0f4f3-4a59-5164-886a-2337ef5448d1	Non ti sto boicottando.	I'm not boycotting you.	Non vi sto boicottando.	I'm not boycotting you.	Non la sto boicottando.	I'm not boycotting you.
boicottarono	boy-koht-TAH-roh-noh	boicottare	VERB	they boycotted	1	1e-06	8	8e-06	boicottare	VERB	V	root	Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin	f0e15b53-f0c4-58f5-97f4-32b1abd85f90	cdb0f4f3-4a59-5164-886a-2337ef5448d1	Sessantacinque paesi boicottarono le Olimpiadi estive del 1980.	Sixty-five countries boycotted the 1980 summer Olympics.				
boicottato	boy-koht-TAH-toh	boicottare	VERB	boycotted	1	1e-06	8	8e-06	boicottare	VERB	V	root	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part	8667e0ac-8a0e-5b3a-8c62-9ffb1fca66d8	cdb0f4f3-4a59-5164-886a-2337ef5448d1	Sessantacinque paesi hanno boicottato le Olimpiadi estive del 1980.	Sixty-five countries boycotted the 1980 summer Olympics.				
