text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
mente	MEHN-teh	mente	NOUN	mind	133	0.000127	139	0.000133	mente	NOUN	S	nmod	Gender=Fem|Number=Sing	d2423b5d-8b79-5c2f-97bc-ed010f1091c1	471800cb-5bf4-541f-a6b0-29f481226f29	7d448ea8f446438be4bbf29f7a323503655ee60e72786586d6d59ad4c785f672	0f0089b2c1f549c726d699e0258f291b70ab63732dbde8045db5a5856249062b		
menti	MEHN-tee	mente	NOUN	minds	6	6e-06	139	0.000133	mente	NOUN	S	obj	Gender=Fem|Number=Plur	9a548c71-5d97-5423-88fc-c66407be0b2f	471800cb-5bf4-541f-a6b0-29f481226f29	c6f88e9430fadafab8c6164cb3cabf8f29c3cbb4dcba21b8259c9a228425ea5a	63d88472c0b775d123afd6d177024d38545c88ebe6518932e850af6794f431cc		
