text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	sentence_1_it	sentence_1_en	sentence_2_it	sentence_2_en	sentence_3_it	sentence_3_en
arrabbiato		arrabbiato	ADJ		99	9.5e-05	181	0.000173	arrabbiato	ADJ	A	amod	Gender=Masc|Number=Sing	fdf70fcc-e7ef-5794-84e0-371e1c6b2c6f	87630bbb-7433-5ea2-8a06-8001a03b103b	Io sono un po' arrabbiato con voi.	I'm a little angry with you.	Spero tu non sia arrabbiato.	I hope that you are not angry.	Spero che Tom non sia troppo arrabbiato con me.	I hope Tom's not too mad at me.
arrabbiata		arrabbiato	ADJ		34	3.3e-05	181	0.000173	arrabbiato	ADJ	A	amod	Gender=Fem|Number=Sing	7bc9a489-65e5-5aed-b15e-b912369fe822	87630bbb-7433-5ea2-8a06-8001a03b103b	Lei è ancora arrabbiata?	Is she still mad?	La sapete la ragione perché lei è così arrabbiata?	Do you know the reason why she is so angry?	Perché sei così arrabbiata?	Why are you so angry?
arrabbiati		arrabbiato	ADJ		29	2.8e-05	181	0.000173	arrabbiato	ADJ	A	root	Gender=Masc|Number=Plur	0a506945-e601-55a9-acf7-864339f2b979	87630bbb-7433-5ea2-8a06-8001a03b103b	Per cosa siete arrabbiati?	What are you cross about?	Siete ancora arrabbiati con me?	Are you still angry with me?	Non mi piacete quando siete arrabbiati.	I don't like you when you're angry.
arrabbiate		arrabbiato	ADJ		19	1.8e-05	181	0.000173	arrabbiato	ADJ	A	root	Gender=Fem|Number=Plur	e9d9d151-fd14-5521-82c3-1a67a152bf41	87630bbb-7433-5ea2-8a06-8001a03b103b	Sembrate arrabbiate.	You look angry.	Non siate così arrabbiate.	Don't be so angry.	Sembravate arrabbiate.	You looked angry.
