text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	sentence_1_it	sentence_1_en	sentence_2_it	sentence_2_en	sentence_3_it	sentence_3_en
psicologica		psicologico	ADJ		3	3e-06	5	5e-06	psicologico	ADJ	A	root	Gender=Fem|Number=Sing	75c61993-33cd-5a77-bc4f-f50ed4a05c65	dffdbc88-ebc1-58a2-b3ca-97d463fa99de	La sua malattia era prevalentemente psicologica.	His illness was mainly psychological.	La sua malattia era principalmente psicologica.	His illness was mainly psychological.	La sua malattia era soprattutto psicologica.	His illness was mainly psychological.
psicologici		psicologico	ADJ		1	1e-06	5	5e-06	psicologico	ADJ	A	conj	Gender=Masc|Number=Plur	190e9d99-6db9-5cd2-9de3-fffb0503fdef	dffdbc88-ebc1-58a2-b3ca-97d463fa99de	Coloro che saranno selezionati dovranno affrontare notevoli test medici e psicologici.	Those selected will have to face extensive medical and psychological tests.				
psicologico		psicologico	ADJ		1	1e-06	5	5e-06	psicologico	ADJ	A	amod	Gender=Masc|Number=Sing	a6ebe629-8bc1-51d5-af2d-a5fcfccbaa81	dffdbc88-ebc1-58a2-b3ca-97d463fa99de	Questo incidente gli ha causato un trauma psicologico.	This accident has caused him psychological trauma.				
